content_id,title,file,line,risk_level,suggestion,auto_fix_possible
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide) — 2026 China Visa & 144-Hour Visa-Free Transit Explained,144-hour-visa-free-transit-guide.md,L89,HIGH,正文含中文字符，国际读者无法理解；翻译为英文或移除,yes
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,2026-05-25-shanghai-bund-french-concession-2-day-guide.md,L114,HIGH,正文含中文字符，国际读者无法理解；翻译为英文或移除,yes
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md,L44,HIGH,正文含中文字符，国际读者无法理解；翻译为英文或移除,yes
cbt-34777b6c17c1,Zhangjiajie Guide: Avatar Mountains & Itinerary,2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,L95,HIGH,正文含中文字符，国际读者无法理解；翻译为英文或移除,yes
cbt-bf4ec5e57a07,Guilin & Yangshuo: Complete 2026 Travel Guide,2026-07-03-guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026-guide.md,L55,HIGH,正文含中文字符，国际读者无法理解；翻译为英文或移除,yes
cbt-23c31fe5b281,Yunnan Travel Guide: Rice Terraces & Ancient Towns,2026-07-05-yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide.md,L126,HIGH,正文含中文字符，国际读者无法理解；翻译为英文或移除,yes
cbt-1005a037234b,China Food Guide for European Travelers,2026-07-06-a-gastronomic-adventure-in-china-a-foodies-guide-for-european-travelers.md,L52,HIGH,正文含中文字符，国际读者无法理解；翻译为英文或移除,yes
cbt-57d0b0208d3b,Is China Safe in 2026? Honest Guide — 2026 Safety Guide for International Travelers,2026-07-13-navigating-china-with-confidence-a-californians-guide-to-travel-safety.md,L40,HIGH,正文含中文字符，国际读者无法理解；翻译为英文或移除,yes
cbt-de065751769e,"China Transportation Guide: Trains, Subways & Taxis",2026-07-14-transportation-guide-guide.md,L38,HIGH,正文含中文字符，国际读者无法理解；翻译为英文或移除,yes
cbt-0953b5433c00,China Cultural Etiquette Guide: Dos and Don,2026-07-21-cultural-etiquette-guide.md,L70,HIGH,正文含中文字符，国际读者无法理解；翻译为英文或移除,yes
cbt-bfeaa5ca9007,China Photography Guide: Best Spots & Tips,2026-08-01-china-photography-guide-capturing-the-wonders-of-the-middle-kingdom.md,L138,HIGH,正文含中文字符，国际读者无法理解；翻译为英文或移除,yes
cbt-cfd5d7b39f09,Chinese Language Survival Phrases Guide 2026,2026-08-03-chinese-language-survival-phrases-guide.md,L40,HIGH,正文含中文字符，国际读者无法理解；翻译为英文或移除,yes
cbt-49088019c529,China Family Travel Tips: Guide & Mistakes to Avoid,2026-08-05-china-family-travel-tips-a-californians-guide.md,L65,HIGH,正文含中文字符，国际读者无法理解；翻译为英文或移除,yes
cbt-0bb1cb1e308d,"China National Parks: Zhangjiajie, Jiuzhaigou, And Beyond Guide",2026-08-12-china-national-parks-zhangjiajie-jiuzhaigou-and-beyond-guide.md,L64,HIGH,正文含中文字符，国际读者无法理解；翻译为英文或移除,yes
