content_id,title,file,line,risk_level,suggestion,auto_fix_possible
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide) — 2026 China Visa & 144-Hour Visa-Free Transit Explained,144-hour-visa-free-transit-guide.md,body,MEDIUM,动态事实关键词 'costs'：需核对最新官方信息并注明日期,no
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide) — 2026 China Visa & 144-Hour Visa-Free Transit Explained,144-hour-visa-free-transit-guide.md,body,MEDIUM,动态事实关键词 '144-hour'：需核对最新官方信息并注明日期,no
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide) — 2026 China Visa & 144-Hour Visa-Free Transit Explained,144-hour-visa-free-transit-guide.md,body,MEDIUM,动态事实关键词 'cost'：需核对最新官方信息并注明日期,no
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide) — 2026 China Visa & 144-Hour Visa-Free Transit Explained,144-hour-visa-free-transit-guide.md,body,MEDIUM,动态事实关键词 '240-hour'：需核对最新官方信息并注明日期,no
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide) — 2026 China Visa & 144-Hour Visa-Free Transit Explained,144-hour-visa-free-transit-guide.md,body,MEDIUM,动态事实关键词 'transit'：需核对最新官方信息并注明日期,no
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide) — 2026 China Visa & 144-Hour Visa-Free Transit Explained,144-hour-visa-free-transit-guide.md,body,MEDIUM,动态事实关键词 'policy'：需核对最新官方信息并注明日期,no
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide) — 2026 China Visa & 144-Hour Visa-Free Transit Explained,144-hour-visa-free-transit-guide.md,body,MEDIUM,动态事实关键词 'rules'：需核对最新官方信息并注明日期,no
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide) — 2026 China Visa & 144-Hour Visa-Free Transit Explained,144-hour-visa-free-transit-guide.md,body,MEDIUM,动态事实关键词 'visa'：需核对最新官方信息并注明日期,no
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,body,MEDIUM,动态事实关键词 'high-speed rail'：需核对最新官方信息并注明日期,no
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,body,MEDIUM,动态事实关键词 'hours'：需核对最新官方信息并注明日期,no
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,L17,MEDIUM,价格/时间/营业信息: '8:00 AM'；需注明更新日期,no
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,L17,MEDIUM,价格/时间/营业信息: '8:00 AM'；需注明更新日期,no
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,L19,MEDIUM,价格/时间/营业信息: '7:45 AM'；需注明更新日期,no
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,L25,MEDIUM,价格/时间/营业信息: '7:30 AM'；需注明更新日期,no
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,L25,MEDIUM,价格/时间/营业信息: '8:30'；需注明更新日期,no
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,L25,MEDIUM,价格/时间/营业信息: '8:30'；需注明更新日期,no
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide) — Foreigners Payment Setup,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,body,MEDIUM,动态事实关键词 'open'：需核对最新官方信息并注明日期,no
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide) — Foreigners Payment Setup,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,body,MEDIUM,动态事实关键词 'high-speed rail'：需核对最新官方信息并注明日期,no
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide) — Foreigners Payment Setup,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,body,MEDIUM,动态事实关键词 'fee'：需核对最新官方信息并注明日期,no
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide) — Foreigners Payment Setup,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,body,MEDIUM,动态事实关键词 'fees'：需核对最新官方信息并注明日期,no
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide) — Foreigners Payment Setup,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,body,MEDIUM,动态事实关键词 'visa'：需核对最新官方信息并注明日期,no
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide) — Foreigners Payment Setup,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,body,MEDIUM,动态事实关键词 'passport'：需核对最新官方信息并注明日期,no
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026) — Booking & Logistics,2026-05-25-china-high-speed-rail-how-to-book-tickets.md,body,MEDIUM,动态事实关键词 'price'：需核对最新官方信息并注明日期,no
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026) — Booking & Logistics,2026-05-25-china-high-speed-rail-how-to-book-tickets.md,body,MEDIUM,动态事实关键词 'open'：需核对最新官方信息并注明日期,no
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026) — Booking & Logistics,2026-05-25-china-high-speed-rail-how-to-book-tickets.md,body,MEDIUM,动态事实关键词 'charges'：需核对最新官方信息并注明日期,no
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026) — Booking & Logistics,2026-05-25-china-high-speed-rail-how-to-book-tickets.md,body,MEDIUM,动态事实关键词 '144-hour'：需核对最新官方信息并注明日期,no
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026) — Booking & Logistics,2026-05-25-china-high-speed-rail-how-to-book-tickets.md,body,MEDIUM,动态事实关键词 'cost'：需核对最新官方信息并注明日期,no
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026) — Booking & Logistics,2026-05-25-china-high-speed-rail-how-to-book-tickets.md,body,MEDIUM,动态事实关键词 'high-speed rail'：需核对最新官方信息并注明日期,no
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026) — Booking & Logistics,2026-05-25-china-high-speed-rail-how-to-book-tickets.md,body,MEDIUM,动态事实关键词 'transit'：需核对最新官方信息并注明日期,no
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026) — Booking & Logistics,2026-05-25-china-high-speed-rail-how-to-book-tickets.md,body,MEDIUM,动态事实关键词 'fee'：需核对最新官方信息并注明日期,no
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,2026-05-25-shanghai-bund-french-concession-2-day-guide.md,body,MEDIUM,动态事实关键词 'charge'：需核对最新官方信息并注明日期,no
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,2026-05-25-shanghai-bund-french-concession-2-day-guide.md,body,MEDIUM,动态事实关键词 '144-hour'：需核对最新官方信息并注明日期,no
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,2026-05-25-shanghai-bund-french-concession-2-day-guide.md,body,MEDIUM,动态事实关键词 'cost'：需核对最新官方信息并注明日期,no
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,2026-05-25-shanghai-bund-french-concession-2-day-guide.md,body,MEDIUM,动态事实关键词 'high-speed rail'：需核对最新官方信息并注明日期,no
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,2026-05-25-shanghai-bund-french-concession-2-day-guide.md,body,MEDIUM,动态事实关键词 'transit'：需核对最新官方信息并注明日期,no
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,2026-05-25-shanghai-bund-french-concession-2-day-guide.md,body,MEDIUM,动态事实关键词 'fees'：需核对最新官方信息并注明日期,no
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,2026-05-25-shanghai-bund-french-concession-2-day-guide.md,body,MEDIUM,动态事实关键词 'visa'：需核对最新官方信息并注明日期,no
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,2026-05-25-shanghai-bund-french-concession-2-day-guide.md,body,MEDIUM,动态事实关键词 'hours'：需核对最新官方信息并注明日期,no
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi",2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md,body,MEDIUM,动态事实关键词 '144-hour'：需核对最新官方信息并注明日期,no
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi",2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md,body,MEDIUM,动态事实关键词 'cost'：需核对最新官方信息并注明日期,no
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi",2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md,body,MEDIUM,动态事实关键词 'high-speed rail'：需核对最新官方信息并注明日期,no
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi",2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md,body,MEDIUM,动态事实关键词 'transit'：需核对最新官方信息并注明日期,no
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi",2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md,body,MEDIUM,动态事实关键词 'visa'：需核对最新官方信息并注明日期,no
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi",2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md,body,MEDIUM,动态事实关键词 'hours'：需核对最新官方信息并注明日期,no
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi",2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md,body,MEDIUM,动态事实关键词 'passport'：需核对最新官方信息并注明日期,no
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md,body,MEDIUM,动态事实关键词 'costs'：需核对最新官方信息并注明日期,no
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md,body,MEDIUM,动态事实关键词 'price'：需核对最新官方信息并注明日期,no
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md,body,MEDIUM,动态事实关键词 'visa'：需核对最新官方信息并注明日期,no
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md,body,MEDIUM,动态事实关键词 '144-hour'：需核对最新官方信息并注明日期,no
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md,body,MEDIUM,动态事实关键词 'cost'：需核对最新官方信息并注明日期,no
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md,body,MEDIUM,动态事实关键词 'high-speed rail'：需核对最新官方信息并注明日期,no
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md,body,MEDIUM,动态事实关键词 'transit'：需核对最新官方信息并注明日期,no
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md,body,MEDIUM,动态事实关键词 'prices'：需核对最新官方信息并注明日期,no
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md,body,MEDIUM,动态事实关键词 'price'：需核对最新官方信息并注明日期,no
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md,body,MEDIUM,动态事实关键词 '144-hour'：需核对最新官方信息并注明日期,no
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md,body,MEDIUM,动态事实关键词 'cost'：需核对最新官方信息并注明日期,no
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md,body,MEDIUM,动态事实关键词 'fare'：需核对最新官方信息并注明日期,no
