social_content_id,content_id,source_article,platform,post_type,caption,visual_requirement,utm,affiliate_flag,scheduled_at,publish_at,impressions,clicks,website_sessions,engaged_sessions,affiliate_clicks,revenue,data_source,status
soc-p32-001,cbt-cfd5d7b39f09,chinese-language-survival-phrases-guide,pinterest,knowledge,"Chinese Language Survival Phrases Guide 2026 | Essential Mandarin phrases for your China trip: greetings, ordering food, asking directions, and everyday situations.\n\n- Learn pinyin so you can say phrases out loud with confidence\n- Cover the basics before you arrive\n- Keep the guide handy for quick reference\n\nSave this for your China trip planning.\n\nFull guide: https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/?utm_source=pinterest&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-001","Vertical 2:3 pin graphic; use the article cover photo; clean readable text overlay; no people; no abstract art.",https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/?utm_source=pinterest&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-001,NO,2026-08-31T00:00:00+00:00,2026-08-31T00:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PENDING_APPROVAL
soc-p32-002,cbt-cfd5d7b39f09,chinese-language-survival-phrases-guide,pinterest,tip,"Mandarin Survival Phrases Checklist for China Travel | Save this checklist of essential phrases before your China trip.\n\n- Greetings: hello, thank you, goodbye\n- Ordering food: this one, not spicy, check please\n- Directions: where is, left, right, straight\n- Shopping: how much, too expensive, this one please\n\nSave this checklist for your China trip planning.\n\nFull guide: https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/?utm_source=pinterest&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-002","Vertical 2:3 checklist pin; use the article cover photo; short bullet list on a clean card; no people; no abstract art.",https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/?utm_source=pinterest&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-002,NO,2026-09-05T01:00:00+00:00,2026-09-05T01:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PENDING_APPROVAL
soc-p32-003,cbt-cfd5d7b39f09,chinese-language-survival-phrases-guide,ig,visual,"One phrase can change how a trip feels. A simple greeting in Mandarin opens more doors than a guidebook ever will.\n\nSave this language survival guide for your next China trip.\n\nFull guide: https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/?utm_source=ig&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-003\n\n#ChinaTravel #Mandarin #ChinaTrip","Vertical 4:5 photo or 9:16 story frame; use the article cover photo; minimal text overlay; no people; no abstract art.",https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/?utm_source=ig&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-003,NO,2026-09-03T00:30:00+00:00,2026-09-03T00:30:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PENDING_APPROVAL
soc-p32-004,cbt-c59607760fee,chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls,pinterest,knowledge,"Chinese Street Food: Night Markets & What to Eat | Save this night-market guide to know what to try and how to order with confidence.\n\n- How to pick a stall with a steady queue\n- Which snacks to start with\n- Simple phrases for ordering at a night market\n\nSave this for your China trip planning.\n\nFull guide: https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/?utm_source=pinterest&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-004","Vertical 2:3 pin graphic; use the article cover photo; clean readable text overlay; no people; no abstract art.",https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/?utm_source=pinterest&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-004,NO,2026-09-01T00:00:00+00:00,2026-09-01T00:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PENDING_APPROVAL
soc-p32-005,cbt-c59607760fee,chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls,pinterest,tip,"Night Market Food Checklist for First-Time China Travelers | Save this checklist before your first night-market visit.\n\n- Start with a skewer you recognize\n- Carry small bills and have mobile payment ready\n- Ask for not spicy if you prefer mild heat\n- Try one new snack each night\n\nSave this checklist for your China trip planning.\n\nFull guide: https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/?utm_source=pinterest&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-005","Vertical 2:3 checklist pin; use the article cover photo; short bullet list on a clean card; no people; no abstract art.",https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/?utm_source=pinterest&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-005,NO,2026-09-06T01:00:00+00:00,2026-09-06T01:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PENDING_APPROVAL
soc-p32-006,cbt-c59607760fee,chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls,ig,visual,"The smell of sizzling skewers. The hum of a full night market. China's street food scene is a trip in itself.\n\nSave this guide before you go, then follow your nose.\n\nFull guide: https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/?utm_source=ig&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-006\n\n#ChinaStreetFood #NightMarket #ChinaTravel","Vertical 4:5 photo or 9:16 story frame; use the article cover photo; minimal text overlay; no people; no abstract art.",https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/?utm_source=ig&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-006,NO,2026-09-04T00:30:00+00:00,2026-09-04T00:30:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PENDING_APPROVAL
soc-p32-007,cbt-550a6e3e929c,sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance,pinterest,knowledge,"Sichuan Hotpot Guide: History & Where to Eat | Save this guide to understand the history, the numbing spice, and how to order your first pot.\n\n- What makes Sichuan hotpot different\n- How the broth works and what to dip\n- How to pace a shared hotpot meal\n\nSave this for your China trip planning.\n\nFull guide: https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/?utm_source=pinterest&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-007","Vertical 2:3 pin graphic; use the article cover photo; clean readable text overlay; no people; no abstract art.",https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/?utm_source=pinterest&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-007,NO,2026-09-02T00:00:00+00:00,2026-09-02T00:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PENDING_APPROVAL
soc-p32-008,cbt-550a6e3e929c,sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance,pinterest,tip,"Sichuan Hotpot Ordering Checklist for First-Timers | Save this checklist before your first hotpot meal.\n\n- Pick a broth: mild or numbing-spicy\n- Add condiments the way you like\n- Start with meat and vegetables you recognize\n- Let the broth simmer before you dip\n\nSave this checklist for your China trip planning.\n\nFull guide: https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/?utm_source=pinterest&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-008","Vertical 2:3 checklist pin; use the article cover photo; short bullet list on a clean card; no people; no abstract art.",https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/?utm_source=pinterest&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-008,NO,2026-09-07T01:00:00+00:00,2026-09-07T01:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PENDING_APPROVAL
soc-p32-009,cbt-550a6e3e929c,sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance,ig,visual,"A bubbling pot at the center of the table. Friends passing plates. Sichuan heat you feel long after the meal.\n\nHotpot is more than dinner in Chengdu. It is a shared ritual.\n\nFull guide: https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/?utm_source=ig&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-009\n\n#SichuanHotpot #Chengdu #ChinaFood","Vertical 4:5 photo or 9:16 story frame; use the article cover photo; minimal text overlay; no people; no abstract art.",https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/?utm_source=ig&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-009,NO,2026-09-05T00:30:00+00:00,2026-09-05T00:30:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PENDING_APPROVAL
soc-p32-010,cbt-302467d853db,shanghai-bund-french-concession-2-day-guide,pinterest,knowledge,"Shanghai 48-Hour Guide: Bund & French Concession | Save this guide for a practical loop through the Bund and the French Concession.\n\n- Where to start for skyline views\n- A relaxed route through tree-lined streets\n- How to fit the highlights without rushing\n\nSave this for your China trip planning.\n\nFull guide: https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/?utm_source=pinterest&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-010","Vertical 2:3 pin graphic; use the article cover photo; clean readable text overlay; no people; no abstract art.",https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/?utm_source=pinterest&utm_medium=social&utm_campaign=cbt_social_20260830&utm_content=soc-p32-010,NO,2026-09-03T00:00:00+00:00,2026-09-03T00:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PENDING_APPROVAL
