rank,filename,title,url,search_potential,current_impressions,ctr_opportunity,commercial_value,content_quality,growth_score,grade,recommended_action
1,2026-05-25-china-high-speed-rail-how-to-book-tickets.md,China High-Speed Train Tickets: How to Book,https://www.chinaboundtravel.com/posts/china-high-speed-rail-how-to-book-tickets/,10,22,8,9,10,72000,A,optimize CTR & add affiliate CTA
2,144-hour-visa-free-transit-guide.md,China 144-Hour Visa-Free Transit 2026: How,https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,10,82,6,10,10,60000,A,optimize CTR & add affiliate CTA
3,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,Can Foreigners Use WeChat Pay in China 2026?,https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,10,40,4,10,10,40000,A,optimize CTR & add affiliate CTA
4,2026-07-20-travel-safety-guide.md,China Travel Safety 2026: Guide for Travelers,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,9.5,10,4,7,10,21280.0,A,optimize CTR & add affiliate CTA
5,2026-08-30-china-business-travel-guide-meetings-dining-and-networking.md,China Business Travel: Meetings & Dining,https://www.chinaboundtravel.com/posts/china-business-travel-guide-meetings-dining-and-networking/,3.5,11,4,6,7.6,5107.2,A,add internal links; optimize CTR & add affiliate CTA
6,2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md,"7-Day China Itinerary: Beijing, Xi'an, Shanghai",https://www.chinaboundtravel.com/posts/7-day-china-itinerary-beijing-xian-shanghai-first-timers/,10,0,2,10,10,4000,D,maintain & monitor ranking
7,2026-05-29-paypal-alipay-wechat-pay-qr-code-support.md,"PayPal, Alipay & WeChat Pay: What It Means",https://www.chinaboundtravel.com/posts/paypal-alipay-wechat-pay-qr-code-support/,10,0,2,10,10,4000,D,maintain & monitor ranking
8,2026-06-02-ultimate-guide-to-china-visa-for-tourists.md,China Tourist Visa Guide: Apply in 2026,https://www.chinaboundtravel.com/posts/ultimate-guide-to-china-visa-for-tourists/,10,0,2,10,10,4000,D,maintain & monitor ranking
9,2026-06-22-shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture.md,Shanghai Beyond the Bund: Local Spots,https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,10,0,2,10,10,4000,D,maintain & monitor ranking
10,2026-07-02-how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026-guide.md,How to Use Alipay as a Foreigner (2026),https://www.chinaboundtravel.com/posts/how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026/,10,0,2,10,10,4000,D,maintain & monitor ranking
11,2026-07-02-wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide.md,WeChat Pay Setup Guide for Foreigners (2026),https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,10,0,2,10,10,4000,D,maintain & monitor ranking
12,2026-07-31-china-remote-work-guide-a-californians-5-year-chengdu-experience.md,China Remote Work Guide: Digital Nomad Tips,https://www.chinaboundtravel.com/posts/china-remote-work-guide-a-californians-5-year-chengdu-experience/,10,0,2,10,10,4000,D,maintain & monitor ranking
13,2026-09-08-alipay-vs-wechat-pay-which-tourists-should-use-china-2026.md,Alipay vs WeChat Pay: Which Payment App,https://www.chinaboundtravel.com/posts/alipay-vs-wechat-pay-which-tourists-should-use-china-2026/,10,0,2,10,10,4000,D,maintain & monitor ranking
14,2026-09-08-china-visa-free-entry-2026-complete-guide-countries-rules-tips.md,China Visa-Free Entry 2026: Complete Guide,https://www.chinaboundtravel.com/posts/china-visa-free-entry-2026-complete-guide-countries-rules-tips/,10,0,2,10,10,4000,D,maintain & monitor ranking
15,alipay-for-foreigners-guide.md,Alipay in China: Setup & Payment Tips (2026),https://www.chinaboundtravel.com/posts/alipay-for-foreigners-guide/,10,0,2,10,10,4000,D,maintain & monitor ranking
16,alipay-wechat-pay-foreigners-guide.md,How to Use Alipay & WeChat Pay in China 2026,https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,10,0,2,10,10,4000,D,maintain & monitor ranking
17,china-transportation-card-guide.md,China Transportation Card Guide (2026),https://www.chinaboundtravel.com/posts/china-transportation-card-guide/,10,0,2,10,10,4000,D,maintain & monitor ranking
18,china-extends-144-hour-visa-free-transit-policy-to-more-countries.md,144-Hour Visa-Free Transit: New Countries,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,10,0,2,10,9.8,3920.0,D,strengthen intro
19,2026-08-05-china-family-travel-tips-a-californians-guide.md,China Family Travel Tips: Mistakes to Avoid,https://www.chinaboundtravel.com/posts/china-family-travel-tips-a-californians-guide/,10,0,2,10,9.6,3840.0,D,add internal links
20,2026-07-04-china-high-speed-train-survival-guide-booking-classes-and-insider-tips.md,China High-Speed Trains: Booking & Tips,https://www.chinaboundtravel.com/posts/china-high-speed-train-survival-guide-booking-classes-and-insider-tips/,9,0,2,10,10,3600,D,maintain & monitor ranking
