content_id,url,impressions,clicks,ctr,position,commercial_intent,affiliate_fit,problem,recommended_action,safe_to_change,priority
cbt-80ac63165adb,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,52,0,0.0,11.4,MEDIUM,Klook,"Impressions>=20, position 5-30, CTR<5% - title/meta CTR opportunity","MONITOR: observe next 28d, no change yet",YES,T1
cbt-bfeaa5ca9007,https://www.chinaboundtravel.com/posts/china-photography-guide-capturing-the-wonders-of-the-middle-kingdom/,51,0,0.0,20.9,MEDIUM,Klook,"Impressions>=20, position 5-30, CTR<5% - title/meta CTR opportunity","MONITOR: observe next 28d, no change yet",YES,T1
cbt-23c31fe5b281,https://www.chinaboundtravel.com/posts/yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide/,40,0,0.0,20.7,MEDIUM,Klook,"Impressions>=20, position 5-30, CTR<5% - title/meta CTR opportunity","MONITOR: observe next 28d, no change yet",YES,T1
cbt-80f6c218ad94,https://www.chinaboundtravel.com/posts/western-sichuan-overland-camping-route/,26,1,3.85,19.3,MEDIUM,Klook,"Impressions>=20, position 5-30, CTR<5% - title/meta CTR opportunity","MONITOR: observe next 28d, no change yet",YES,T1
cbt-bf4ec5e57a07,https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,24,0,0.0,18.9,MEDIUM,Klook,"Impressions>=20, position 5-30, CTR<5% - title/meta CTR opportunity","MONITOR: observe next 28d, no change yet",YES,T1
cbt-34777b6c17c1,https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,20,0,0.0,27.0,MEDIUM,Klook,"Impressions>=20, position 5-30, CTR<5% - title/meta CTR opportunity","MONITOR: observe next 28d, no change yet",YES,T1
cbt-302467d853db,https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/,11,0,0.0,11.1,MEDIUM,Klook,Position 8-20 boundary - needs on-page boost,"MONITOR: observe next 28d, no change yet",YES,T2
cbt-663ab3f3b0fa,https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,2,1,50.0,16.0,MEDIUM,Klook,Position 8-20 boundary - needs on-page boost,"MONITOR: observe next 28d, no change yet",YES,T2
cbt-244822dc113b,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,87,0,0.0,41.9,HIGH,Klook,Position 8-20 boundary - needs on-page boost,CONTENT_UPDATE: title/meta/H1 + internal links (low risk),YES,T3
cbt-b4ff4381a014,https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,107,0,0.0,74.0,HIGH,Klook,Position 8-20 boundary - needs on-page boost,CONTENT_UPDATE: title/meta/H1 + internal links (low risk),YES,T3
