content_id,file,issue_type,before,after,rule,evidence_status,action,validation_status
cbt-244822dc113b,china-extends-144-hour-visa-free-transit-policy-to-more-countries.md,formatting_error,H2 heading contained NUL bytes (\x00P0\x00) and read 'China Extends P0-free Transit Policy',H2 heading restored to 'China Extends 144-Hour Visa-Free Transit Policy to More Countries',AUTO_FIX: formatting error / binary corruption,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-244822dc113b,china-extends-144-hour-visa-free-transit-policy-to-more-countries.md,formatting_error,Malformed markdown link: 'The National Immigrat[144-hour visa](/posts/144-hour-visa-free-transit-guide/)ation',Link syntax repaired; anchor moved to separate sentence after 'National Immigration Administration',AUTO_FIX: formatting error / malformed markdown,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-244822dc113b,china-extends-144-hour-visa-free-transit-policy-to-more-countries.md,brand_persona,'Let's be clear: this is a game-changer! Long-time China travelers remember...',Editorial phrasing: 'Travelers who have followed China's visa policies over the years have seen a significant shift...',AUTO_FIX: legacy conversational persona wording,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-707a8899c0a7,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,formatting_error,"Malformed shortcode: ({[esim](/posts/internet-connection-china-esim-vpn-guide/)ooking-link ""Book Hotels"" />}})","Correct shortcode: ({{< booking-link ""Book Hotels"" />}})",AUTO_FIX: formatting error / malformed shortcode,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-707a8899c0a7,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,formatting_error,'generally not recommended share your payment QR code publicly... often check the merchant's name','Don't share your payment QR code publicly... Always check the merchant's name',AUTO_FIX: formatting / broken instruction wording,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-80f6c218ad94,western-sichuan-overland-camping-route.md,brand_persona,'But let's be real - this isn't a trip for the faint of heart.','This isn't a trip for the faint of heart.',AUTO_FIX: legacy conversational persona wording,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-80f6c218ad94,western-sichuan-overland-camping-route.md,brand_persona,"'I cannot stress this enough. We're talking 3,000-4,500 meters here.'","'This is essential. The route sits at 3,000-4,500 meters.'",AUTO_FIX: fabricated first-person voice,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-80f6c218ad94,western-sichuan-overland-camping-route.md,formatting_error,'Luding Bridge (Luding Bridge)' duplicated parenthetical,'Luding Bridge',AUTO_FIX: formatting error / duplicated label,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-80f6c218ad94,western-sichuan-overland-camping-route.md,formatting_error,'and  worth a visit' double space,'and worth a visit',AUTO_FIX: formatting error / spacing,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-80f6c218ad94,western-sichuan-overland-camping-route.md,ai_wording,'one of the popular views come after the hardest climbs','the best views come after the hardest climbs',SAFE_NORMALIZE: corrupted superlative replaced without new factual claim,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-bf4ec5e57a07,2026-07-03-guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026-guide.md,ai_wording,'a popular For' table header,'Best For',SAFE_NORMALIZE: malformed superlative restored to best,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-bf4ec5e57a07,2026-07-03-guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026-guide.md,ai_wording,'Second-a popular overall','Second-best overall',SAFE_NORMALIZE: malformed superlative restored to best,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-bf4ec5e57a07,2026-07-03-guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026-guide.md,ai_wording,'September and October are one of the popular balance of weather','September and October offer the best balance of weather',SAFE_NORMALIZE: malformed superlative restored to best,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-bf4ec5e57a07,2026-07-03-guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026-guide.md,ai_wording,'a popular versions are at the smaller restaurants' (Beer Fish),'The best versions are at the smaller restaurants',SAFE_NORMALIZE: malformed superlative restored to best,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-bf4ec5e57a07,2026-07-03-guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026-guide.md,ai_wording,'That's your a popular ¥15 (~€1.90) spent all day','That's a well-spent ¥15 (~€1.90) for the whole day',"SAFE_NORMALIZE: malformed superlative removed, meaning preserved",NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-bf4ec5e57a07,2026-07-03-guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026-guide.md,ai_wording,'High-speed train is one of the popular option for most travelers','High-speed train is the best option for most travelers',SAFE_NORMALIZE: malformed superlative restored to best,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-bf4ec5e57a07,2026-07-03-guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026-guide.md,ai_wording,'This is the single a popular transport decision you can make','This is the single best transport decision you can make',SAFE_NORMALIZE: malformed superlative restored to best,NO_VERIFIED_SOURCE,SAFE_NORMALIZE,PASS
cbt-bf4ec5e57a07,2026-07-03-guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026-guide.md,fact_risk,"20 RMB banknote reference, Li River prices, schedule details retained",Unchanged,FACT_CHECK_REQUIRED: price/schedule/availability claims need official source,NO_VERIFIED_SOURCE,FACT_CHECK_REQUIRED,PASS
cbt-34777b6c17c1,2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,brand_persona,'As travelers who've lived in Chengdu for over 5 years... we went into Zhangjiajie fully expecting another overhyped tourist trap. We were wrong.','Many travelers arrive at Zhangjiajie expecting another overhyped tourist trap and are surprised by how spectacular the landscape is.',AUTO_FIX: fabricated first-person experience removed,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-34777b6c17c1,2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,brand_persona,'This guide is everything we wish we'd known before going. We've packed it with... the exact 4-day route that worked for us',"'This guide packs in real ticket prices (updated for 2026), a practical 4-day route...'",AUTO_FIX: fabricated first-person experience removed,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-34777b6c17c1,2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,brand_persona,'We flew Chengdu → Zhangjiajie for about ¥600 (~$85) one way.','A typical one-way fare from Chengdu is about ¥600 (~$85).',AUTO_FIX: fabricated first-person experience removed,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-34777b6c17c1,2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,brand_persona,'This is the route we followed after talking to a local guide at our hotel.','This route is designed to maximize your time and avoid backtracking.',AUTO_FIX: fabricated local-guide interaction removed,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-34777b6c17c1,2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,brand_persona,'We arrived at 7:15 and had the platform to ourselves for 15 magical minutes','Arriving at 7:15 AM means having the platform almost to yourself.',AUTO_FIX: fabricated first-person experience removed,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-34777b6c17c1,2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,brand_persona,"'If you're exhausted (we were), spend the morning...'","'If you need a rest day, spend the morning...'",AUTO_FIX: fabricated first-person experience removed,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-34777b6c17c1,2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,brand_persona,'Our favorite was a tiny spot near Wulingyuan bus station that charged ¥38 (~$5) for a massive pot.',"'A popular choice is a small restaurant near Wulingyuan bus station, where a generous pot costs around ¥38 (~$5).'",AUTO_FIX: fabricated personal favorite removed,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
cbt-34777b6c17c1,2026-06-30-zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park.md,brand_persona,"'We hired one through our hotel for ¥300/day (~$42), and she was incredible...'",'Guides booked through your hotel cost around ¥300/day (~$42) and can help you avoid tour groups.',AUTO_FIX: fabricated local-guide experience removed,NO_VERIFIED_SOURCE,AUTO_FIX,PASS
