content_id,title,url,section,published_date,duplicate_count,is_primary,indexed_status,clicks_28d,impressions_28d,ctr_28d,avg_position,query_count,business_intent,business_value,indexing_score,demand_score,performance_score,business_score,gap_score,opportunity_score,opportunity_tier,primary_action,reason
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide),https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,posts,2026-05-19,1,True,INDEXED,0,107,0.0,74.05,16,VISA,HIGH,20,20,2,20,15,77,B,TITLE_TEST,high impressions (107) with zero clicks; 16 queries point to this page; high commercial intent
cbt-52a577c1b2b8,China Transportation Guide for European Travelers,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,posts,2026-07-12,3,False,INDEXED,0,107,0.0,22.33,2,TRANSPORT,HIGH,20,20,4,20,11,75,B,TITLE_TEST,high impressions (107) with zero clicks; high commercial intent
cbt-de065751769e,"China Transportation Guide: Trains, Subways & Taxis",https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,posts,2026-07-14,3,False,INDEXED,0,107,0.0,22.33,2,TRANSPORT,HIGH,20,20,4,20,11,75,B,TITLE_TEST,high impressions (107) with zero clicks; high commercial intent
cbt-17c6738ffb32,"China Transportation Guide: Trains, Subways & Taxis",https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,posts,2026-07-16,3,True,INDEXED,0,107,0.0,22.33,2,TRANSPORT,HIGH,20,20,4,20,11,75,B,TITLE_TEST,high impressions (107) with zero clicks; high commercial intent
cbt-e464169c4991,Chinese Food Delivery: Meituan & Ele.me Guide,https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,posts,2026-05-23,1,True,INDEXED,0,159,0.0,19.55,4,TRAVEL_GUIDE,MEDIUM,20,20,8,12,7,67,B,TITLE_TEST,high impressions (159) with zero clicks; near page 1 (pos 19.55); 4 queries point to this page
cbt-244822dc113b,China's 144-Hour Visa-Free Transit: 15 New Countries,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,posts,2026-06-02,1,True,INDEXED,0,87,0.0,41.87,11,VISA,HIGH,20,15,4,20,8,67,B,COMMERCIAL_OPTIMIZATION,11 queries point to this page; high commercial intent
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide),https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,posts,2026-05-22,1,True,INDEXED,0,83,0.0,62.45,19,PAYMENT,HIGH,20,15,2,20,8,65,B,COMMERCIAL_OPTIMIZATION,19 queries point to this page; high commercial intent
cbt-d7747b73c978,"Xi'an Terracotta Army: Tickets, Tips & History",https://www.chinaboundtravel.com/posts/xian-terracotta-army-history-discovery-and-insider-tips/,posts,2026-06-30,1,True,INDEXED,0,1,0.0,5.0,0,TRANSPORT,HIGH,20,10,10,20,0,60,B,CONTENT_EXPANSION,high commercial intent
cbt-80f6c218ad94,Western Sichuan Overland Camping Route: 7 Days,https://www.chinaboundtravel.com/posts/western-sichuan-overland-camping-route/,posts,2026-06-02,1,True,INDEXED,1,26,0.038462,19.31,2,CITY,MEDIUM,20,10,14,12,2,58,C,FAQ_EXPANSION,monitor
cbt-bfeaa5ca9007,China Photography Guide: Best Spots & Tips,https://www.chinaboundtravel.com/posts/china-photography-guide-capturing-the-wonders-of-the-middle-kingdom/,posts,2026-08-01,1,True,INDEXED,0,51,0.0,20.88,3,TRAVEL_GUIDE,MEDIUM,20,15,4,12,6,57,C,FAQ_EXPANSION,3 queries point to this page
