content_id,title,file,line,risk_level,suggestion,auto_fix_possible
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide) — 2026 China Visa & 144-Hour Visa-Free Transit Explained,144-hour-visa-free-transit-guide.md,L28,HIGH,第一人称/本地宣称: 'local'；改用编辑部口吻,yes
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide) — 2026 China Visa & 144-Hour Visa-Free Transit Explained,144-hour-visa-free-transit-guide.md,L125,HIGH,第一人称/本地宣称: 'I'；改用编辑部口吻,yes
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide) — 2026 China Visa & 144-Hour Visa-Free Transit Explained,144-hour-visa-free-transit-guide.md,L125,HIGH,第一人称/本地宣称: 'I'；改用编辑部口吻,yes
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,L5,HIGH,第一人称/本地宣称: 'I'；改用编辑部口吻,yes
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,L13,HIGH,第一人称/本地宣称: 'insider'；改用编辑部口吻,yes
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,L25,HIGH,第一人称/本地宣称: 'Local'；改用编辑部口吻,yes
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,L25,HIGH,第一人称/本地宣称: 'Local'；改用编辑部口吻,yes
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,L29,HIGH,第一人称/本地宣称: 'Local'；改用编辑部口吻,yes
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide) — Foreigners Payment Setup,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,L90,HIGH,第一人称/本地宣称: 'I'；改用编辑部口吻,yes
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide) — Foreigners Payment Setup,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,L108,HIGH,第一人称/本地宣称: 'local'；改用编辑部口吻,yes
