filename,slug,article_topic,cta_type,partner,location,intent_match,action
144-hour-visa-free-transit-guide.md,144-hour-visa-free-transit-guide,Visa / Visa-Free,Mid-content CTA (esim),Airalo (eSIM),body,yes,kept
144-hour-visa-free-transit-guide.md,144-hour-visa-free-transit-guide,Visa / Visa-Free,Flight,Aviasales (Flights),body,yes,kept
144-hour-visa-free-transit-guide.md,144-hour-visa-free-transit-guide,Visa / Visa-Free,Insurance,SafetyWing (Insurance),body,yes,kept
144-hour-visa-free-transit-guide.md,144-hour-visa-free-transit-guide,Visa / Visa-Free,eSIM,Airalo (eSIM),body,yes,kept
2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,dude-wheres-my-panda-a-beijing-guys-guide-to-the-c,Itinerary / Destination,Tour/Activity,Klook (Tours/Activities),body,yes,kept
2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,dude-wheres-my-panda-a-beijing-guys-guide-to-the-c,Itinerary / Destination,Hotel,Booking (Hotels),body,yes,kept
2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,dude-wheres-my-panda-a-beijing-guys-guide-to-the-c,Itinerary / Destination,Flight,Aviasales (Flights),body,yes,kept
2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,dude-wheres-my-panda-a-beijing-guys-guide-to-the-c,Itinerary / Destination,Insurance,SafetyWing (Insurance),body,yes,kept
2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,dude-wheres-my-panda-a-beijing-guys-guide-to-the-c,Itinerary / Destination,eSIM,Airalo (eSIM),body,yes,kept
2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,dude-wheres-my-panda-a-beijing-guys-guide-to-the-c,Itinerary / Destination,Tour/Activity,Klook (Tours/Activities),body,yes,kept
2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,how-to-use-wechat-pay-as-a-foreigner,Payment (WeChat/Alipay),eSIM,Airalo (eSIM),body,yes,kept
2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,how-to-use-wechat-pay-as-a-foreigner,Payment (WeChat/Alipay),Insurance,SafetyWing (Insurance),body,yes,kept
2026-05-25-china-high-speed-rail-how-to-book-tickets.md,china-high-speed-rail-how-to-book-tickets,High-speed rail / Transportation,Insurance,SafetyWing (Insurance),body,yes,kept
2026-05-25-china-high-speed-rail-how-to-book-tickets.md,china-high-speed-rail-how-to-book-tickets,High-speed rail / Transportation,eSIM,Airalo (eSIM),body,yes,kept
2026-05-25-shanghai-bund-french-concession-2-day-guide.md,shanghai-bund-french-concession-2-day-guide,Itinerary / Destination,Hotel,Booking (Hotels),body,yes,kept
2026-05-25-shanghai-bund-french-concession-2-day-guide.md,shanghai-bund-french-concession-2-day-guide,Itinerary / Destination,Flight,Aviasales (Flights),body,yes,kept
2026-05-25-shanghai-bund-french-concession-2-day-guide.md,shanghai-bund-french-concession-2-day-guide,Itinerary / Destination,Tour/Activity,Klook (Tours/Activities),body,yes,kept
2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md,7-day-china-itinerary-beijing-xian-shanghai-first-timers,Itinerary / Destination,VPN,NordVPN (VPN),body,yes,kept
2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md,7-day-china-itinerary-beijing-xian-shanghai-first-timers,Itinerary / Destination,VPN,NordVPN (VPN),table,yes,kept
2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md,7-day-china-itinerary-beijing-xian-shanghai-first-timers,Itinerary / Destination,VPN,NordVPN (VPN),table,yes,kept
