content_id,url,title,section,sessions,pageviews,gsc_impressions,gsc_clicks,avg_position,affiliate_clicks,affiliate_clicks_per_1000_sessions,revenue,revenue_status,partner_count,has_affiliate,drive_active,commercial_intent,indexed_status,seo_opportunity_score,query_count,revenue_opportunity_score,raw_score,data_confidence_pct,tier,primary_action
cbt-b4ff4381a014,https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,China 144-Hour Visa-Free Transit (2026 Guide),posts,162,365,107.0,0.0,74.05,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,4,True,True,VISA,INDEXED,77.0,16.0,82.5,86.0,80.7,A,CTA_OPTIMIZATION
cbt-52a577c1b2b8,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,China Transportation Guide for European Travelers,posts,162,365,107.0,0.0,22.33,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,5,True,True,TRAIN,INDEXED,0.0,0,73.4,76.0,80.7,B,CTA_OPTIMIZATION
cbt-e464169c4991,https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,Chinese Food Delivery: Meituan & Ele.me Guide,posts,162,365,159.0,0.0,19.55,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,4,True,True,FOOD,INDEXED,67.0,4.0,72.5,75.0,80.7,B,CONTENT_COMMERCIALIZATION
cbt-244822dc113b,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,China's 144-Hour Visa-Free Transit: 15 New Countries,posts,162,365,87.0,0.0,41.87,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,5,True,True,VISA,INDEXED,67.0,11.0,67.0,75.0,66.5,B,CTA_OPTIMIZATION
cbt-707a8899c0a7,https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,Can Foreigners Use WeChat Pay in China? (2026 Guide),posts,162,365,83.0,0.0,62.45,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,3,True,True,PAYMENT,INDEXED,65.0,19.0,65.5,73.2,66.5,B,CTA_OPTIMIZATION
cbt-34777b6c17c1,https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,Zhangjiajie Guide: Avatar Mountains & Itinerary,posts,162,365,20.0,0.0,27.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,6,True,True,TOUR,INDEXED,46.0,1.0,53.4,59.0,66.5,C,MONITOR
cbt-17c6738ffb32,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,"China Transportation Guide: Trains, Subways & Taxis",posts,162,365,107.0,0.0,22.33,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,0,False,True,TRANSPORT,INDEXED,75.0,2.0,50.6,51.0,80.7,C,MONITOR
cbt-80ac63165adb,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,China Travel Guide: August 2026 Update,posts,162,365,52.0,0.0,11.4,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,6,True,True,GENERAL,INDEXED,55.0,0.0,47.5,52.0,66.5,C,MONITOR
cbt-673e981fe6f2,https://www.chinaboundtravel.com/posts/2026-05-26-is-china-safe-for-tourists-2026-honest-assessment/,Is China Safe for Tourists in 2026? Honest Guide,posts,162,365,3.0,0.0,87.33,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,5,True,True,TOUR,INDEXED,44.0,0.0,47.2,55.0,57.0,C,MEASURE_MORE
cbt-ae69cb9f84b0,https://www.chinaboundtravel.com/posts/how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026/,How to Use Alipay as a Foreigner (2026),posts,162,365,1.0,0.0,64.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,6,True,True,PAYMENT,INDEXED,52.0,1.0,47.2,55.0,57.0,C,MEASURE_MORE
cbt-bfeaa5ca9007,https://www.chinaboundtravel.com/posts/china-photography-guide-capturing-the-wonders-of-the-middle-kingdom/,China Photography Guide: Best Spots & Tips,posts,162,365,51.0,0.0,20.88,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,6,True,True,GENERAL,INDEXED,57.0,3.0,45.8,50.0,66.5,C,MONITOR
cbt-bf4ec5e57a07,https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,Guilin & Yangshuo: Complete 2026 Travel Guide,posts,162,365,24.0,0.0,18.88,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,4,True,True,CITY,INDEXED,50.0,0.0,45.8,50.0,66.5,C,MONITOR
cbt-80f6c218ad94,https://www.chinaboundtravel.com/posts/western-sichuan-overland-camping-route/,Western Sichuan Overland Camping Route: 7 Days,posts,162,365,26.0,1.0,19.31,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,5,True,True,CITY,INDEXED,58.0,2.0,45.8,50.0,66.5,C,MONITOR
cbt-255af4ed003a,https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,How to Set Up & Use WeChat Pay Step by Step (2026 Guide),posts,162,365,1.0,0.0,11.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,6,True,True,PAYMENT,Alternate page with proper canonical tag,38.0,0.0,44.7,52.0,57.0,C,MEASURE_MORE
cbt-d7747b73c978,https://www.chinaboundtravel.com/posts/xian-terracotta-army-history-discovery-and-insider-tips/,"Xi'an Terracotta Army: Tickets, Tips & History",posts,162,365,1.0,0.0,5.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,6,True,True,CITY,INDEXED,60.0,0.0,43.9,51.0,57.0,C,MEASURE_MORE
cbt-9e2f5ffa1b6d,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,Where to Stay in China: Hotels & Budget Options,posts,162,365,17.0,0.0,48.06,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,3,True,True,HOTEL,INDEXED,0.0,0,43.3,50.2,57.0,C,MEASURE_MORE
cbt-302467d853db,https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/,Shanghai 48-Hour Guide: Bund & French Concession,posts,162,365,11.0,0.0,11.09,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,4,True,True,CITY,INDEXED,50.0,0.0,43.1,50.0,57.0,C,MEASURE_MORE
cbt-23c31fe5b281,https://www.chinaboundtravel.com/posts/yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide/,Yunnan Travel Guide: Rice Terraces & Ancient Towns,posts,162,365,40.0,0.0,20.7,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,3,True,True,CITY,INDEXED,46.0,1.0,42.5,46.2,66.5,C,MONITOR
cbt-57d0b0208d3b,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,Is China Safe in 2026? Honest Guide,posts,162,365,7.0,0.0,42.14,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,4,True,True,TOUR,INDEXED,0.0,0,41.5,48.0,57.0,C,MEASURE_MORE
cbt-550a6e3e929c,https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,Sichuan Hotpot Guide: History & Best Restaurants,posts,162,365,11.0,0.0,37.18,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,6,True,True,FOOD,INDEXED,46.0,0.0,41.5,48.0,57.0,C,MEASURE_MORE
cbt-07563e9b51cc,https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,How to Use Alipay & WeChat Pay in China (2026),posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,6,True,True,PAYMENT,INDEXED,40.0,0.0,41.4,51.0,47.5,C,MONITOR
cbt-a349eee78670,https://www.chinaboundtravel.com/posts/internet-connection-china-esim-vpn-guide/,Internet in China: eSIM vs SIM vs VPN (2026),posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,5,True,True,INTERNET,INDEXED,40.0,0.0,41.4,51.0,47.5,C,MONITOR
cbt-abb64a856c29,https://www.chinaboundtravel.com/posts/paypal-alipay-wechat-pay-qr-code-support/,PayPal + Alipay + WeChat Pay: What It Means for You,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,4,True,True,PAYMENT,INDEXED,40.0,0.0,41.4,51.0,47.5,C,MONITOR
cbt-73f33c49bc51,https://www.chinaboundtravel.com/posts/ultimate-guide-to-china-visa-for-tourists/,China Tourist Visa Guide: How to Apply in 2026,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,4,True,True,VISA,INDEXED,40.0,0.0,41.4,51.0,47.5,C,MONITOR
cbt-95d9a1b95440,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-07-monthly-update/,China Travel Guide: July 2026 Updates & Visa Rules,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,3,True,True,VISA,INDEXED,40.0,0.0,40.0,49.2,47.5,C,MONITOR
cbt-663ab3f3b0fa,https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,Shanghai Beyond the Bund: Hidden Neighborhoods,posts,162,365,2.0,1.0,16.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,6,True,True,CITY,INDEXED,56.0,0.0,39.9,46.0,57.0,D,MONITOR
cbt-c885da2cf5d9,https://www.chinaboundtravel.com/posts/7-day-china-itinerary-beijing-xian-shanghai-first-timers/,"7-Day China Itinerary: Beijing, Xi'an & Shanghai",posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,4,True,True,TOUR,INDEXED,32.0,0.0,39.1,48.0,47.5,D,MONITOR
cbt-d701fb08eb7b,https://www.chinaboundtravel.com/posts/best-travel-insurance-china/,Best Travel Insurance for China 2026,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,6,True,True,INSURANCE,INDEXED,32.0,0.0,39.1,48.0,47.5,D,MONITOR
cbt-6a164e0e8077,https://www.chinaboundtravel.com/posts/dude-wheres-my-panda-a-beijing-guys-guide-to-the-c/,Chengdu Panda Base Guide: See the Pandas Like a Local,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,5,True,True,TOUR,INDEXED,32.0,0.0,39.1,48.0,47.5,D,MONITOR
cbt-277de627eb2d,https://www.chinaboundtravel.com/posts/hangzhou-west-lake-tea-culture-g20-guide/,Hangzhou Travel Guide: West Lake & Tea Culture,posts,162,365,1.0,0.0,49.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,5,True,True,CITY,INDEXED,46.0,0.0,38.3,44.0,57.0,D,MEASURE_MORE
cbt-cc4549872c92,https://www.chinaboundtravel.com/posts/china-high-speed-rail-how-to-book-tickets/,How to Book China High-Speed Train Tickets (2026),posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,5,True,True,TRAIN,NOT_INDEXED,20.0,0.0,37.5,46.0,47.5,D,MONITOR
cbt-558f85f45e9a,https://www.chinaboundtravel.com/posts/the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide/,Great Wall of China: History Beyond the Tourist Trail,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,6,True,True,TRAIN,Page with redirect,20.0,0.0,37.5,46.0,47.5,D,MONITOR
cbt-4e09fa4aa93d,https://www.chinaboundtravel.com/posts/china-high-speed-train-survival-guide-booking-classes-and-insider-tips/,China High-Speed Trains: Booking & Insider Tips,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,3,True,True,TRAIN,Page with redirect,20.0,0.0,36.2,44.2,47.5,D,MONITOR
cbt-6f28480baea0,https://www.chinaboundtravel.com/posts/how-to-survive-chinese-train-station/,Chinese Train Stations: Survival Guide for Travelers,posts,162,365,0.0,0.0,0.0,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,3,True,True,TRAIN,NOT_INDEXED,20.0,0.0,36.2,44.2,47.5,D,MONITOR
cbt-cfd5d7b39f09,https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,Chinese Language Survival Phrases Guide 2026,posts,162,365,11.0,0.0,27.45,0.0,0.0,NULL,REVENUE_NOT_AVAILABLE,6,True,True,GENERAL,INDEXED,46.0,0.0,35.9,41.0,57.0,D,MEASURE_MORE
