content_id,url,title,intent,impressions_28d,position_28d,indexed_status,existing_partners,traffic_score,intent_score,cta_match_score,cta_gap_score,risk_score,conversion_score,commercial_query
cbt-b4ff4381a014,https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,144-Hour Visa-Free Transit in China (2026 Guide),VISA,107,74.05,INDEXED,"Aviasales,Booking,Klook,SafetyWing",15,30,25,8,0,78,True
cbt-17c6738ffb32,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,China Transportation Guide for European Travelers,TRAIN,107,22.33,INDEXED,"Aviasales,Booking,Klook,Trip.com",15,28,25,2,5,75,True
cbt-244822dc113b,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,China's 144-Hour Visa-Free Transit: 15 New Countries,VISA,87,41.87,INDEXED,"Airalo,Aviasales,Booking,Klook,SafetyWing",10,30,25,2,5,72,True
cbt-707a8899c0a7,https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,How to Use WeChat Pay as a Foreigner (2026),PAYMENT,83,62.45,INDEXED,"Airalo,Aviasales,Klook",10,28,18,8,5,69,True
cbt-ae69cb9f84b0,https://www.chinaboundtravel.com/posts/how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026/,How to Use Alipay as a Foreigner (2026),PAYMENT,1,64.0,INDEXED,"Airalo,Aviasales,Booking,Klook,NordVPN,SafetyWing",3,28,25,8,5,69,True
cbt-95d9a1b95440,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-07-monthly-update/,China Travel Guide: July 2026 Updates & Visa Rules,VISA,0,0.0,INDEXED,"Booking,Klook,SafetyWing",0,30,25,8,5,68,True
cbt-73f33c49bc51,https://www.chinaboundtravel.com/posts/ultimate-guide-to-china-visa-for-tourists/,China Tourist Visa Guide: How to Apply in 2026,VISA,0,0.0,INDEXED,"Aviasales,Booking,Klook,SafetyWing",0,30,25,8,5,68,True
cbt-e464169c4991,https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,Chinese Food Delivery: Meituan & Ele.me Guide,FOOD,159,19.55,INDEXED,"Airalo,Aviasales,Booking,Klook",15,18,25,8,0,66,False
cbt-07563e9b51cc,https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,How to Use Alipay & WeChat Pay in China (2026),PAYMENT,0,0.0,INDEXED,"Airalo,Aviasales,Booking,Klook,NordVPN,SafetyWing",0,28,25,8,5,66,True
cbt-4e09fa4aa93d,https://www.chinaboundtravel.com/posts/china-high-speed-train-survival-guide-booking-classes-and-insider-tips/,China High-Speed Trains: Booking & Insider Tips,TRAIN,0,0.0,PAGE WITH REDIRECT,"Aviasales,Booking,Klook",0,28,25,8,5,66,True
cbt-558f85f45e9a,https://www.chinaboundtravel.com/posts/the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide/,Great Wall of China: History Beyond the Tourist Trail,TRAIN,0,0.0,PAGE WITH REDIRECT,"Airalo,Aviasales,Booking,Klook,NordVPN,SafetyWing",0,28,25,8,5,66,False
cbt-255af4ed003a,https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,WeChat Pay for Foreigners: Setup Guide & Mistakes,PAYMENT,1,11.0,ALTERNATE PAGE WITH PROPER CANONICAL TAG,"Airalo,Aviasales,Booking,Klook,NordVPN,SafetyWing",3,28,25,8,0,64,True
cbt-baa2f6fba2f0,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,Where to Stay in China: Hotels & Budget Options,HOTEL,17,48.06,INDEXED,"Airalo,Aviasales,Booking,Klook,NordVPN,SafetyWing",3,26,25,2,5,61,True
cbt-cc4549872c92,https://www.chinaboundtravel.com/posts/china-high-speed-rail-how-to-book-tickets/,How to Book China High-Speed Train Tickets (2026),TRAIN,0,0.0,NOT_INDEXED,"Airalo,Aviasales,Klook,SafetyWing,Trip.com",0,28,25,8,0,61,True
cbt-550a6e3e929c,https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,Sichuan Hotpot Guide: History & Best Restaurants,FOOD,11,37.18,INDEXED,"Airalo,Aviasales,Booking,Klook,NordVPN,SafetyWing",3,18,25,8,5,59,False
cbt-c59607760fee,https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/,Chinese Street Food: Night Markets & What to Eat,FOOD,6,27.0,INDEXED,"Airalo,Klook",3,18,25,8,5,59,False
cbt-abb64a856c29,https://www.chinaboundtravel.com/posts/paypal-alipay-wechat-pay-qr-code-support/,PayPal + Alipay + WeChat Pay: What It Means for You,PAYMENT,0,0.0,INDEXED,"Airalo,Aviasales,Booking,Klook",0,28,18,8,5,59,True
cbt-34777b6c17c1,https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,Zhangjiajie Guide: Avatar Mountains & Itinerary,TOUR,20,27.0,INDEXED,"Airalo,Aviasales,Booking,Klook,NordVPN,SafetyWing",6,20,25,2,5,58,False
cbt-a349eee78670,https://www.chinaboundtravel.com/posts/internet-connection-china-esim-vpn-guide/,Internet in China: eSIM vs SIM vs VPN (2026),INTERNET,0,0.0,INDEXED,"Airalo,Aviasales,Booking,Klook,SafetyWing",0,26,18,8,5,57,True
