page,query,impressions,clicks,ctr,position,opportunity_type,recommended_action
https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,,159,0,0.0,19.55,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,,159,0,0.0,19.55,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/posts/2026-05-25-china-high-speed-rail-how-to-book-tickets/,,138,0,0.0,30.14,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/posts/2026-05-25-china-high-speed-rail-how-to-book-tickets/,,138,0,0.0,30.14,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,,107,0,0.0,22.33,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,,107,0,0.0,22.33,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,,107,0,0.0,74.05,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,,107,0,0.0,74.05,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,,87,0,0.0,41.87,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,,87,0,0.0,41.87,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,,83,0,0.0,62.45,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,,83,0,0.0,62.45,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/posts/2026-05-25-china-high-speed-rail-how-to-book-tickets/,,55,0,0.0,38.47,E_MULTI_QUERY_PAGE,INTERNAL_LINK
https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,,52,0,0.0,11.4,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,,52,0,0.0,11.4,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/posts/china-photography-guide-capturing-the-wonders-of-the-middle-kingdom/,,51,0,0.0,20.88,A_HIGH_IMP_LOW_CTR,META
https://www.chinaboundtravel.com/posts/china-photography-guide-capturing-the-wonders-of-the-middle-kingdom/,,51,0,0.0,20.88,D_HIGH_IMP_ZERO_CLICK,TITLE
https://www.chinaboundtravel.com/posts/yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide/,,40,0,0.0,20.7,A_HIGH_IMP_LOW_CTR,META
