content_id,url,priority,recommended_action,reason,traffic_score,seo_score,engagement_score,commercial_score,affiliate_score,revenue_score,trust_score,risk_score,status
cbt-b4ff4381a014,https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,P0,FROZEN,"impressions=107, pos=74.0, indexed=INDEXED, fact_issues=8, affiliate_ctas=5, social_published=3",93.4,60.0,100.0,91.5,86.0,0.0,71.0,50.0,FROZEN
cbt-244822dc113b,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,P0,FACT_CHECK,"impressions=87, pos=41.9, indexed=INDEXED, fact_issues=8, affiliate_ctas=5, social_published=0",90.0,70.0,0.0,89.7,90.0,0.0,63.0,0.0,READY
cbt-52a577c1b2b8,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,P1,FACT_CHECK,"impressions=107, pos=22.3, indexed=INDEXED, fact_issues=4, affiliate_ctas=5, social_published=0",93.4,64.0,0.0,70.4,90.0,0.0,77.0,10.0,READY
cbt-707a8899c0a7,https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,P1,FACT_CHECK,"impressions=83, pos=62.5, indexed=INDEXED, fact_issues=7, affiliate_ctas=4, social_published=0",89.2,60.0,0.0,87.2,70.0,0.0,71.0,0.0,READY
cbt-e464169c4991,https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,P1,FROZEN,"impressions=159, pos=19.6, indexed=INDEXED, fact_issues=8, affiliate_ctas=5, social_published=0",100.0,78.0,0.0,55.8,86.0,0.0,62.0,50.0,FROZEN
cbt-80f6c218ad94,https://www.chinaboundtravel.com/posts/western-sichuan-overland-camping-route/,P1,FACT_CHECK,"impressions=26, pos=19.3, indexed=INDEXED, fact_issues=8, affiliate_ctas=5, social_published=0",72.2,74.0,0.0,40.6,90.0,0.0,54.0,0.0,READY
cbt-de065751769e,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,P1,FACT_CHECK,"impressions=107, pos=22.3, indexed=INDEXED, fact_issues=3, affiliate_ctas=5, social_published=0",93.4,64.0,0.0,23.6,60.0,0.0,86.0,10.0,READY
cbt-34777b6c17c1,https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,P1,FACT_CHECK,"impressions=20, pos=27.0, indexed=INDEXED, fact_issues=8, affiliate_ctas=12, social_published=0",66.0,62.0,0.0,48.0,100.0,0.0,52.0,0.0,READY
cbt-9e2f5ffa1b6d,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,P1,FACT_CHECK,"impressions=17, pos=48.1, indexed=INDEXED, fact_issues=8, affiliate_ctas=3, social_published=0",63.4,66.0,0.0,73.3,58.0,0.0,67.0,10.0,READY
cbt-bf4ec5e57a07,https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,P1,FACT_CHECK,"impressions=24, pos=18.9, indexed=INDEXED, fact_issues=8, affiliate_ctas=4, social_published=0",68.9,70.0,0.0,38.2,74.0,0.0,59.0,0.0,READY
cbt-baa2f6fba2f0,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,P2,FACT_CHECK,"impressions=17, pos=48.1, indexed=INDEXED, fact_issues=8, affiliate_ctas=7, social_published=0",63.4,66.0,0.0,43.6,84.0,0.0,66.0,10.0,READY
cbt-550a6e3e929c,https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,P2,FACT_CHECK,"impressions=11, pos=37.2, indexed=INDEXED, fact_issues=7, affiliate_ctas=8, social_published=0",56.6,50.0,0.0,51.0,100.0,0.0,69.0,0.0,READY
cbt-302467d853db,https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/,P2,FACT_CHECK,"impressions=11, pos=11.1, indexed=INDEXED, fact_issues=8, affiliate_ctas=4, social_published=0",56.6,70.0,0.0,38.2,74.0,0.0,67.0,0.0,READY
cbt-663ab3f3b0fa,https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,P2,FACT_CHECK,"impressions=2, pos=16.0, indexed=INDEXED, fact_issues=8, affiliate_ctas=11, social_published=0",35.4,80.0,0.0,38.2,100.0,0.0,62.0,0.0,READY
cbt-80ac63165adb,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,P2,FROZEN,"impressions=52, pos=11.4, indexed=INDEXED, fact_issues=8, affiliate_ctas=6, social_published=0",81.5,70.0,0.0,21.2,100.0,0.0,66.0,50.0,FROZEN
cbt-bfeaa5ca9007,https://www.chinaboundtravel.com/posts/china-photography-guide-capturing-the-wonders-of-the-middle-kingdom/,P2,FROZEN,"impressions=51, pos=20.9, indexed=INDEXED, fact_issues=8, affiliate_ctas=6, social_published=0",81.2,66.0,0.0,24.9,100.0,0.0,66.0,50.0,FROZEN
cbt-17c6738ffb32,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,P2,FROZEN,"impressions=107, pos=22.3, indexed=INDEXED, fact_issues=8, affiliate_ctas=6, social_published=0",93.4,64.0,0.0,70.4,72.0,0.0,58.0,90.0,FROZEN
cbt-cfd5d7b39f09,https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,P2,FACT_CHECK,"impressions=11, pos=27.4, indexed=INDEXED, fact_issues=7, affiliate_ctas=6, social_published=0",56.6,60.0,0.0,21.2,100.0,0.0,65.0,0.0,READY
