priority,content_id,title,url,impressions_28d,clicks_28d,position_28d,indexed_status,canonical_conflict,commercial_intent,opportunity_tier,legacy_hits,duplicate_count,execution_risk,recovery_score
P0,cbt-95d9a1b95440,China Travel Guide: July 2026 Updates & Visa Rules,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-07-monthly-update/,0,0,0.0,INDEXED,YES,VISA,C,0,1,LOW,27
P0,cbt-255af4ed003a,How to Set Up & Use WeChat Pay Step by Step (2026 Guide),https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,1,0,11.0,Alternate page with proper canonical tag,NO,PAYMENT,D,0,1,HIGH(frozen),19.5
P1,cbt-e464169c4991,Chinese Food Delivery: Meituan & Ele.me Guide,https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,159,0,19.55,INDEXED,NO,TRAVEL_GUIDE,B,0,1,HIGH(frozen),149.7
P1,cbt-244822dc113b,China's 144-Hour Visa-Free Transit: 15 New Countries,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,87,0,41.87,INDEXED,NO,VISA,B,0,1,LOW,102
P1,cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide),https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,107,0,74.05,INDEXED,NO,VISA,B,1,1,HIGH(frozen),101
P1,cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide),https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,83,0,62.45,INDEXED,NO,PAYMENT,B,0,1,LOW,98
P1,cbt-52a577c1b2b8,China Transportation Guide for European Travelers,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,107,0,22.33,INDEXED,NO,TRANSPORT,B,0,3,HIGH(frozen),92.5
P1,cbt-de065751769e,"China Transportation Guide: Trains, Subways & Taxis",https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,107,0,22.33,INDEXED,NO,TRANSPORT,B,0,3,HIGH(frozen),92.5
P1,cbt-17c6738ffb32,"China Transportation Guide: Trains, Subways & Taxis",https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,107,0,22.33,INDEXED,NO,TRANSPORT,B,0,3,HIGH(frozen),92.5
P1,cbt-80ac63165adb,China Travel Guide: August 2026 Update,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,52,0,11.4,INDEXED,NO,TRAVEL_GUIDE,C,0,1,LOW,79.9
