content_id,title,url,section,published_date,clicks_28d,impressions_28d,ctr_28d,position_28d,indexed_status
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide),https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,posts,2026-05-19,0,107,0.0,74.05,INDEXED
cbt-575e18482ca0,China Just Made It WAY Easier to Visit (My Mother-in-Law is STOKED),https://www.chinaboundtravel.com/posts/china-just-made-it-way-easier-to-visit-my-mother-i/,posts,2026-06-02,0,0,0.0,0.0,NOT_INDEXED
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,https://www.chinaboundtravel.com/posts/dude-wheres-my-panda-a-beijing-guys-guide-to-the-c/,posts,2026-06-02,0,0,0.0,0.0,INDEXED
cbt-407090802298,Shanghai Like a Local  Hidden Neighborhoods Tourists Never Find,https://www.chinaboundtravel.com/posts/shanghai-like-a-local-hidden-neighborhoods-tourist/,posts,2026-06-02,0,0,0.0,0.0,NOT_INDEXED
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide),https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,posts,2026-05-22,0,83,0.0,62.45,INDEXED
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),https://www.chinaboundtravel.com/posts/china-high-speed-rail-how-to-book-tickets/,posts,2026-05-25,0,0,0.0,0.0,NOT_INDEXED
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/,posts,2026-05-24,0,11,0.0,11.09,INDEXED
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi'an & Shanghai",https://www.chinaboundtravel.com/posts/7-day-china-itinerary-beijing-xian-shanghai-first-timers/,posts,2026-05-27,0,0,0.0,0.0,INDEXED
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,https://www.chinaboundtravel.com/posts/hangzhou-west-lake-tea-culture-g20-guide/,posts,2026-05-23,0,1,0.0,49.0,INDEXED
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,https://www.chinaboundtravel.com/posts/2026-05-26-is-china-safe-for-tourists-2026-honest-assessment/,posts,2026-05-27,0,3,0.0,87.33,INDEXED
cbt-6f28480baea0,Chinese Train Stations: Survival Guide for Travelers,https://www.chinaboundtravel.com/posts/how-to-survive-chinese-train-station/,posts,2026-05-23,0,0,0.0,0.0,NOT_INDEXED
cbt-e464169c4991,Chinese Food Delivery: Meituan & Ele.me Guide,https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,posts,2026-05-23,0,159,0.0,19.55,INDEXED
cbt-abb64a856c29,PayPal + Alipay + WeChat Pay: What It Means for You,https://www.chinaboundtravel.com/posts/paypal-alipay-wechat-pay-qr-code-support/,posts,2026-05-29,0,0,0.0,0.0,INDEXED
cbt-73f33c49bc51,China Tourist Visa Guide: How to Apply in 2026,https://www.chinaboundtravel.com/posts/ultimate-guide-to-china-visa-for-tourists/,posts,2026-06-02,0,0,0.0,0.0,INDEXED
cbt-558f85f45e9a,Great Wall of China: History Beyond the Tourist Trail,https://www.chinaboundtravel.com/posts/the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide/,posts,2026-06-19,0,0,0.0,0.0,Page with redirect
cbt-698862ce2129,"Chinese Tea Culture: History, Types & Ceremony",https://www.chinaboundtravel.com/posts/chinese-tea-culture-history-types-and-tea-ceremony-guide/,posts,2026-06-22,0,0,0.0,0.0,INDEXED
cbt-663ab3f3b0fa,Shanghai Beyond the Bund: Hidden Neighborhoods,https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,posts,2026-06-22,1,2,0.5,16.0,INDEXED
cbt-550a6e3e929c,Sichuan Hotpot Guide: History & Best Restaurants,https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,posts,2026-06-23,0,11,0.0,37.18,INDEXED
cbt-d7747b73c978,"Xi'an Terracotta Army: Tickets, Tips & History",https://www.chinaboundtravel.com/posts/xian-terracotta-army-history-discovery-and-insider-tips/,posts,2026-06-30,0,1,0.0,5.0,INDEXED
cbt-34777b6c17c1,Zhangjiajie Guide: Avatar Mountains & Itinerary,https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,posts,2026-06-30,0,20,0.0,27.0,INDEXED
cbt-95d9a1b95440,China Travel Guide: July 2026 Updates & Visa Rules,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-07-monthly-update/,posts,2026-07-01,0,0,0.0,0.0,INDEXED
cbt-c59607760fee,Chinese Street Food: Night Markets & What to Eat,https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/,posts,2026-07-01,0,6,0.0,27.0,INDEXED
cbt-ae69cb9f84b0,How to Use Alipay as a Foreigner (2026),https://www.chinaboundtravel.com/posts/how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026/,posts,2026-07-02,0,1,0.0,64.0,INDEXED
cbt-255af4ed003a,How to Set Up & Use WeChat Pay Step by Step (2026 Guide),https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,posts,2026-07-02,0,1,0.0,11.0,Alternate page with proper canonical tag
cbt-bf4ec5e57a07,Guilin & Yangshuo: Complete 2026 Travel Guide,https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,posts,2026-07-03,0,24,0.0,18.88,INDEXED
cbt-4e09fa4aa93d,China High-Speed Trains: Booking & Insider Tips,https://www.chinaboundtravel.com/posts/china-high-speed-train-survival-guide-booking-classes-and-insider-tips/,posts,2026-07-04,0,0,0.0,0.0,Page with redirect
cbt-23c31fe5b281,Yunnan Travel Guide: Rice Terraces & Ancient Towns,https://www.chinaboundtravel.com/posts/yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide/,posts,2026-07-05,0,40,0.0,20.7,INDEXED
cbt-1005a037234b,China Food Guide for European Travelers,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,posts,2026-07-06,0,0,0.0,0.0,INDEXED
cbt-9e2f5ffa1b6d,Where to Stay in China: Hotels & Budget Options,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,posts,2026-07-07,0,17,0.0,48.06,INDEXED
cbt-5479873d6104,China Food Guide: Must-Try Dishes & Restaurants,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,posts,2026-07-10,0,0,0.0,0.0,INDEXED
cbt-52a577c1b2b8,China Transportation Guide for European Travelers,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,posts,2026-07-12,0,107,0.0,22.33,INDEXED
cbt-57d0b0208d3b,Is China Safe in 2026? Honest Guide,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,posts,2026-07-13,0,7,0.0,42.14,INDEXED
cbt-de065751769e,"China Transportation Guide: Trains, Subways & Taxis",https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,posts,2026-07-14,0,107,0.0,22.33,INDEXED
cbt-17c6738ffb32,"China Transportation Guide: Trains, Subways & Taxis",https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,posts,2026-07-16,0,107,0.0,22.33,INDEXED
cbt-0897b4c56074,China Food Guide 2026: What to Eat & Where,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,posts,2026-07-16,0,0,0.0,0.0,INDEXED
cbt-7996811c1d23,Is China Safe for Tourists in 2026? Honest Guide,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,posts,2026-07-16,0,7,0.0,42.14,INDEXED
cbt-dfe3904705ea,China Travel Safety 2026: Guide for Travelers,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,posts,2026-07-20,0,7,0.0,42.14,INDEXED
cbt-0953b5433c00,China Cultural Etiquette Guide: Dos and Don'ts,https://www.chinaboundtravel.com/posts/cultural-etiquette-guide/,posts,2026-07-21,0,0,0.0,0.0,INDEXED
cbt-2b8c6981425b,China Etiquette Guide for Aussie & Kiwi Travelers,https://www.chinaboundtravel.com/posts/cultural-etiquette-guide/,posts,2026-07-22,0,0,0.0,0.0,INDEXED
cbt-acae8a973429,Foodie's Guide to China: Dishes You Must Try,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,posts,2026-07-23,0,0,0.0,0.0,INDEXED
cbt-baa2f6fba2f0,Where to Stay in China: Complete 2026 Guide,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,posts,2026-07-27,0,17,0.0,48.06,INDEXED
cbt-92448be1e0ca,China Remote Work Guide: 5 Years in Chengdu,https://www.chinaboundtravel.com/posts/china-remote-work-guide-a-californians-5-year-chengdu-experience/,posts,2026-07-31,0,0,0.0,0.0,INDEXED
cbt-bfeaa5ca9007,China Photography Guide: Best Spots & Tips,https://www.chinaboundtravel.com/posts/china-photography-guide-capturing-the-wonders-of-the-middle-kingdom/,posts,2026-08-01,0,51,0.0,20.88,INDEXED
cbt-80ac63165adb,China Travel Guide: August 2026 Update,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,posts,2026-08-01,0,52,0.0,11.4,INDEXED
cbt-cfd5d7b39f09,Chinese Language Survival Phrases Guide 2026,https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,posts,2026-08-03,0,11,0.0,27.45,INDEXED
cbt-49088019c529,China Family Travel Tips: Guide & Mistakes to Avoid,https://www.chinaboundtravel.com/posts/china-family-travel-tips-a-californians-guide/,posts,2026-08-05,0,0,0.0,0.0,INDEXED
