content_id,title,url,impressions,clicks,affiliate_clicks,partner,commercial_intent,drive_status,commercial_score
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide),https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,107,0,0,"Aviasales, Booking, Klook, SafetyWing",VISA,ACTIVE,214.0
cbt-52a577c1b2b8,China Transportation Guide for European Travelers,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,107,0,0,"Airalo, Aviasales, Booking, Klook, SafetyWing",TRAIN,ACTIVE,214.0
cbt-244822dc113b,China's 144-Hour Visa-Free Transit: 15 New Countries,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,87,0,0,"Airalo, Aviasales, Booking, Klook, SafetyWing",VISA,ACTIVE,174.0
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide),https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,83,0,0,"Airalo, Aviasales, Klook",PAYMENT,ACTIVE,166.0
cbt-e464169c4991,Chinese Food Delivery: Meituan & Ele.me Guide,https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,159,0,0,"Airalo, Aviasales, Booking, Klook",FOOD,ACTIVE,159.0
cbt-80ac63165adb,China Travel Guide: August 2026 Update,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,52,0,0,"Airalo, Aviasales, Booking, Klook, NordVPN, SafetyWing",GENERAL,ACTIVE,52.0
cbt-bfeaa5ca9007,China Photography Guide: Best Spots & Tips,https://www.chinaboundtravel.com/posts/china-photography-guide-capturing-the-wonders-of-the-middle-kingdom/,51,0,0,"Airalo, Aviasales, Booking, Klook, NordVPN, SafetyWing",GENERAL,ACTIVE,51.0
cbt-23c31fe5b281,Yunnan Travel Guide: Rice Terraces & Ancient Towns,https://www.chinaboundtravel.com/posts/yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide/,40,0,0,"Aviasales, Booking, Klook",CITY,ACTIVE,40.0
cbt-9e2f5ffa1b6d,Where to Stay in China: Hotels & Budget Options,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,17,0,0,"Booking, Klook, SafetyWing",HOTEL,ACTIVE,34.0
cbt-80f6c218ad94,Western Sichuan Overland Camping Route: 7 Days,https://www.chinaboundtravel.com/posts/western-sichuan-overland-camping-route/,26,1,0,"Airalo, Aviasales, Booking, Klook, SafetyWing",CITY,ACTIVE,26.0
cbt-bf4ec5e57a07,Guilin & Yangshuo: Complete 2026 Travel Guide,https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,24,0,0,"Airalo, Aviasales, Booking, Klook",CITY,ACTIVE,24.0
cbt-34777b6c17c1,Zhangjiajie Guide: Avatar Mountains & Itinerary,https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,20,0,0,"Airalo, Aviasales, Booking, Klook, NordVPN, SafetyWing",TOUR,ACTIVE,20.0
cbt-cfd5d7b39f09,Chinese Language Survival Phrases Guide 2026,https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,11,0,0,"Airalo, Aviasales, Booking, Klook, NordVPN, SafetyWing",GENERAL,ACTIVE,11.0
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/,11,0,0,"Aviasales, Booking, Klook, Trip.com",CITY,ACTIVE,11.0
