content_id,title,file,line,risk_level,suggestion,auto_fix_possible
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide) — 2026 China Visa & 144-Hour Visa-Free Transit Explained,144-hour-visa-free-transit-guide.md,L26,HIGH,绝对化/无依据描述: 'Always'；补充来源或弱化语气,yes
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide) — 2026 China Visa & 144-Hour Visa-Free Transit Explained,144-hour-visa-free-transit-guide.md,L128,HIGH,绝对化/无依据描述: 'best'；补充来源或弱化语气,yes
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,L11,HIGH,绝对化/无依据描述: 'best'；补充来源或弱化语气,yes
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,L43,HIGH,绝对化/无依据描述: 'best'；补充来源或弱化语气,yes
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,L44,HIGH,绝对化/无依据描述: 'best'；补充来源或弱化语气,yes
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,L45,HIGH,绝对化/无依据描述: 'best'；补充来源或弱化语气,yes
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,L35,HIGH,无来源数据: '80 RMB'；标注来源或移除,no
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,L43,HIGH,无来源数据: '55 RMB'；标注来源或移除,no
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide) — Foreigners Payment Setup,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,L31,HIGH,绝对化/无依据描述: 'best'；补充来源或弱化语气,yes
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide) — Foreigners Payment Setup,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,L37,HIGH,绝对化/无依据描述: 'best'；补充来源或弱化语气,yes
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide) — Foreigners Payment Setup,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,L62,HIGH,绝对化/无依据描述: 'never'；补充来源或弱化语气,yes
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide) — Foreigners Payment Setup,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,L64,HIGH,绝对化/无依据描述: 'Always'；补充来源或弱化语气,yes
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide) — Foreigners Payment Setup,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,L68,HIGH,绝对化/无依据描述: 'best'；补充来源或弱化语气,yes
