content_id,url,title,intent,impressions_28d,clicks_28d,affiliate_present,commercial_score
cbt-b4ff4381a014,https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,China 144-Hour Visa-Free Transit (2026 Guide),VISA,107.0,0.0,yes,214.0
cbt-52a577c1b2b8,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,China Transportation Guide for European Travelers,TRAIN,107.0,0.0,yes,214.0
cbt-244822dc113b,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,China's 144-Hour Visa-Free Transit: 15 New Countries,VISA,87.0,0.0,yes,174.0
cbt-707a8899c0a7,https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,Can Foreigners Use WeChat Pay in China? (2026 Guide),PAYMENT,83.0,0.0,yes,166.0
cbt-e464169c4991,https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,Chinese Food Delivery: Meituan & Ele.me Guide,FOOD,159.0,0.0,yes,159.0
cbt-80ac63165adb,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,China Travel Guide: August 2026 Updates & Visa Rules,VISA,52.0,0.0,yes,104.0
cbt-bfeaa5ca9007,https://www.chinaboundtravel.com/posts/china-photography-guide-capturing-the-wonders-of-the-middle-kingdom/,China Photography Guide: Best Spots & Tips,GENERAL,51.0,0.0,yes,51.0
cbt-23c31fe5b281,https://www.chinaboundtravel.com/posts/yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide/,Yunnan Travel Guide: Rice Terraces & Ancient Towns,CITY,40.0,0.0,yes,40.0
cbt-9e2f5ffa1b6d,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,Where to Stay in China: Hotels & Budget Options,HOTEL,17.0,0.0,yes,34.0
cbt-80f6c218ad94,https://www.chinaboundtravel.com/posts/western-sichuan-overland-camping-route/,Western Sichuan Overland Camping Route: 7 Days,CITY,26.0,1.0,yes,26.0
cbt-bf4ec5e57a07,https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,Guilin & Yangshuo: Complete 2026 Travel Guide,CITY,24.0,0.0,yes,24.0
cbt-34777b6c17c1,https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,Zhangjiajie Guide: Avatar Mountains & Itinerary,TOUR,20.0,0.0,yes,20.0
cbt-cfd5d7b39f09,https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,Chinese Language Survival Phrases Guide 2026,GENERAL,11.0,0.0,yes,11.0
cbt-302467d853db,https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/,Shanghai 48-Hour Guide: Bund & French Concession,CITY,11.0,0.0,yes,11.0
cbt-550a6e3e929c,https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,Sichuan Hotpot Guide: History & Best Restaurants,FOOD,11.0,0.0,yes,11.0
cbt-57d0b0208d3b,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,Is China Safe in 2026? Honest Guide,TOUR,7.0,0.0,yes,7.0
