filename,slug,url,title,indexed,total_impressions,total_clicks,keyword_count,best_position,avg_position,search_intent,title_score,h1_score,first_para_score,internal_link_count,affiliate_cta_count,commercial_value,grade,notes
2026-05-25-china-high-speed-rail-how-to-book-tickets.md,china-high-speed-rail-how-to-book-tickets,https://www.chinaboundtravel.com/posts/china-high-speed-rail-how-to-book-tickets/,China High-Speed Train Tickets: How to Book,True,22,0,2,26.4,45.8,transactional,9,9,9,12,3,9,A,"High potential: 22 imp, best pos 26.4"
144-hour-visa-free-transit-guide.md,144-hour-visa-free-transit-guide,https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,China 144-Hour Visa-Free Transit 2026: How,True,82,0,7,54.9,66.7,commercial,9,9,9,7,5,10,A,"High potential: 82 imp, best pos 54.9"
2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,how-to-use-wechat-pay-as-a-foreigner,https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,Can Foreigners Use WeChat Pay in China 2026?,True,40,0,3,64.5,69.6,commercial,9,9,9,8,4,10,A,"High potential: 40 imp, best pos 64.5"
2026-07-20-travel-safety-guide.md,travel-safety-guide,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,China Travel Safety 2026: Guide for Travelers,True,10,0,1,91.4,91.4,commercial_investigational,8,8,9,3,3,7,A,"High potential: 10 imp, best pos 91.4"
2026-08-30-china-business-travel-guide-meetings-dining-and-networking.md,china-business-travel-guide-meetings-dining-and-networking,https://www.chinaboundtravel.com/posts/china-business-travel-guide-meetings-dining-and-networking/,China Business Travel: Meetings & Dining,True,11,0,1,81.7,81.7,transactional,8,8,8,2,0,6,A,"High potential: 11 imp, best pos 81.7"
2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md,7-day-china-itinerary-beijing-xian-shanghai-first-timers,https://www.chinaboundtravel.com/posts/7-day-china-itinerary-beijing-xian-shanghai-first-timers/,"7-Day China Itinerary: Beijing, Xi'an, Shanghai",False,0,0,0,N/A,N/A,commercial,9,9,6,9,5,10,D,no GSC data
2026-05-29-paypal-alipay-wechat-pay-qr-code-support.md,paypal-alipay-wechat-pay-qr-code-support,https://www.chinaboundtravel.com/posts/paypal-alipay-wechat-pay-qr-code-support/,"PayPal, Alipay & WeChat Pay: What It Means",False,0,0,0,N/A,N/A,commercial,9,9,10,5,3,10,D,no GSC data
2026-06-02-ultimate-guide-to-china-visa-for-tourists.md,ultimate-guide-to-china-visa-for-tourists,https://www.chinaboundtravel.com/posts/ultimate-guide-to-china-visa-for-tourists/,China Tourist Visa Guide: Apply in 2026,False,0,0,0,N/A,N/A,transactional,8,8,10,5,4,10,D,no GSC data
2026-06-22-shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture.md,shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture,https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,Shanghai Beyond the Bund: Local Spots,False,0,0,0,N/A,N/A,commercial,8,8,9,16,11,10,D,no GSC data
2026-07-02-how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026-guide.md,how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026,https://www.chinaboundtravel.com/posts/how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026/,How to Use Alipay as a Foreigner (2026),False,0,0,0,N/A,N/A,commercial,8,8,8,14,3,10,D,no GSC data
2026-07-02-wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide.md,wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide,https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,WeChat Pay Setup Guide for Foreigners (2026),False,0,0,0,N/A,N/A,commercial,9,9,9,20,3,10,D,no GSC data
2026-07-31-china-remote-work-guide-a-californians-5-year-chengdu-experience.md,china-remote-work-guide-a-californians-5-year-chengdu-experience,https://www.chinaboundtravel.com/posts/china-remote-work-guide-a-californians-5-year-chengdu-experience/,China Remote Work Guide: Digital Nomad Tips,False,0,0,0,N/A,N/A,commercial,9,9,9,12,8,10,D,no GSC data
2026-08-01-chinabound-travel-guide-2026-08-monthly-update.md,chinabound-travel-guide-2026-08-monthly-update,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,China Travel Guide: August 2026 Updates,False,0,0,0,N/A,N/A,commercial,8,8,8,15,6,10,E,"Monthly update - low evergreen SEO value, consider merging"
2026-09-08-alipay-vs-wechat-pay-which-tourists-should-use-china-2026.md,alipay-vs-wechat-pay-which-tourists-should-use-china-2026,https://www.chinaboundtravel.com/posts/alipay-vs-wechat-pay-which-tourists-should-use-china-2026/,Alipay vs WeChat Pay: Which Payment App,False,0,0,0,N/A,N/A,transactional,8,8,6,10,5,10,D,no GSC data
2026-09-08-china-visa-free-entry-2026-complete-guide-countries-rules-tips.md,china-visa-free-entry-2026-complete-guide-countries-rules-tips,https://www.chinaboundtravel.com/posts/china-visa-free-entry-2026-complete-guide-countries-rules-tips/,China Visa-Free Entry 2026: Complete Guide,False,0,0,0,N/A,N/A,commercial,9,9,9,13,6,10,D,no GSC data
alipay-for-foreigners-guide.md,alipay-for-foreigners-guide,https://www.chinaboundtravel.com/posts/alipay-for-foreigners-guide/,Alipay in China: Setup & Payment Tips (2026),False,0,0,0,N/A,N/A,transactional,9,9,10,6,3,10,D,no GSC data
alipay-wechat-pay-foreigners-guide.md,alipay-wechat-pay-foreigners-guide,https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,How to Use Alipay & WeChat Pay in China 2026,False,0,0,0,N/A,N/A,commercial,9,9,8,14,3,10,D,no GSC data
china-transportation-card-guide.md,china-transportation-card-guide,https://www.chinaboundtravel.com/posts/china-transportation-card-guide/,China Transportation Card Guide (2026),False,0,0,0,N/A,N/A,transactional,8,8,10,10,7,10,D,no GSC data
china-extends-144-hour-visa-free-transit-policy-to-more-countries.md,china-extends-144-hour-visa-free-transit-policy-to-more-countries,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,144-Hour Visa-Free Transit: New Countries,False,0,0,0,N/A,N/A,commercial,9,9,4,12,3,10,D,no GSC data
2026-08-05-china-family-travel-tips-a-californians-guide.md,china-family-travel-tips-a-californians-guide,https://www.chinaboundtravel.com/posts/china-family-travel-tips-a-californians-guide/,China Family Travel Tips: Mistakes to Avoid,False,0,0,0,N/A,N/A,commercial,9,9,8,2,3,10,D,no GSC data
