content_id,file,before,after,rule,risk_level,status
,144-hour-visa-free-transit-guide.md,title: China 144-Hour Visa-Free Transit (2026 Guide) — 2026 China Visa & 144-Hour Visa-Free Transit Explained,title: China 144-Hour Visa-Free Transit (2026 Guide),seo_title_too_long,MEDIUM,APPLIED
,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,Local friends often share three things,Many visitors discover three things,brand_local_panda_friends,HIGH,APPLIED
,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md,**The Second Attempt: With Local Intel**,**The Second Attempt: With Better Planning**,brand_local_panda_heading,HIGH,APPLIED
,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md,title: Can Foreigners Use WeChat Pay in China? (2026 Guide) — Foreigners Payment Setup,title: Can Foreigners Use WeChat Pay in China? (2026 Guide),seo_title_too_long,MEDIUM,APPLIED
,2026-05-25-china-high-speed-rail-how-to-book-tickets.md,## My Recommended Routes (Beginners Start Here),## Recommended Routes (Beginners Start Here),brand_persona_routes_heading,HIGH,APPLIED
,2026-05-25-china-high-speed-rail-how-to-book-tickets.md,## China's High-Speed Rail: How to Book Tickets Like a Local,## China's High-Speed Rail: How to Book Tickets Like a Resident,brand_local_h1_hsr,HIGH,APPLIED
,2026-05-25-china-high-speed-rail-how-to-book-tickets.md,title: How to Book China High-Speed Train Tickets (2026) — Booking & Logistics,title: How to Book China High-Speed Train Tickets (2026),seo_title_too_long,MEDIUM,APPLIED
,2026-05-25-shanghai-bund-french-concession-2-day-guide.md,one of the most pleasant urban walks I've done anywhere in the world,one of the most pleasant urban walks anywhere in the world,brand_persona_bund_walk,HIGH,APPLIED
,2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md,## Gear I Actually Recommend for This Trip,## Recommended Gear for This Trip,brand_persona_gear_heading,HIGH,APPLIED
,2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md,plus my personal contact for a licensed guide who speaks English,plus contact details for a licensed English-speaking guide,brand_persona_members_hub_contact,HIGH,APPLIED
,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md,best,top,ai_abs_best,MEDIUM,APPLIED
,2026-05-28-chinese-food-delivery-meituan-eleme-guide.md,like a local,like a resident,brand_like_a_local,HIGH,APPLIED
,2026-05-29-paypal-alipay-wechat-pay-qr-code-support.md,like a local,like a resident,brand_like_a_local,HIGH,APPLIED
,2026-05-29-paypal-alipay-wechat-pay-qr-code-support.md,like a local,like a resident,brand_like_a_local,HIGH,APPLIED
,2026-06-02-ultimate-guide-to-china-visa-for-tourists.md,best,top,ai_abs_best,MEDIUM,APPLIED
,2026-06-02-ultimate-guide-to-china-visa-for-tourists.md,best,top,ai_abs_best,MEDIUM,APPLIED
